,Date,tweets,User Location,hashtag
0,10/14/2019 0:47,Why do they keep electing elites that have millions of dollars and cannot relate to them?#MAGA #Trump2020 #MAGA2020… https://t.co/XKsBIjvqcn,United States,#MAGA2020
1,10/14/2019 0:46,"No Shame! 
Thanks @carlosrossimc for the verse.

#MAGA2020 
#MAGACHALLENGE 
#KAG 
#KAGCHALLENGE
#trump2020 https://t.co/J847bF4s3n",United States,#MAGA2020
2,10/14/2019 0:46,@vocabulori @walterowensgrpa @IlhanMN Aw another Democrat that’s losing his election #maga2020,,#MAGA2020
3,10/14/2019 0:45,@realDonaldTrump @FoxNews needs to dump Wallace like they did Shep!👉🏻🚪 I switch to the Weather Channel every time I… https://t.co/AUKDRtPMkc,"Boston, MA",#MAGA2020
4,10/14/2019 0:45,"President Trump is 100% Correct on Syria Withdrawal – Here’s Why… – The Last Refuge

⁦@POTUS⁩ 

Stable Genius!🇺🇸🇺🇸… https://t.co/KAp1Sw2bhg",Florida of course!,#MAGA2020
5,10/14/2019 0:44,@JoeBiden Poor Joe...#MAGA #MAGA2020,Corpus Christi,#MAGA2020
6,10/14/2019 0:44,Found a useful idiot from the left who interrupted #TrumpMinneapolisRally #MAGA #MAGA2020 #MAGACHALLENGE #KAG2020 https://t.co/ldQJ1mgUf5,"Whereabouts, U.S.A.",#MAGA2020
7,10/14/2019 0:41,ICYMI Fort Worth police kill woman inside her own home https://t.co/5J7Fmy4q2j #election2020 #MAGA2020 https://t.co/r9uRgGqtwN,USA,#MAGA2020
8,10/14/2019 0:41,@EricTrump @LaraLeaTrump Wishing you happy birthday! #MAGA2020 https://t.co/ZqI9xtTlCV,"Columbia, Maryland USA",#MAGA2020
9,10/14/2019 0:41,@IngrahamAngle First get something out of the taxpayer funded golf trips of our #POTUS enriching his properties. He… https://t.co/XMqj8xwArV,,#MAGA2020
10,10/14/2019 0:40,"In case I haven't said it this week.
#Winning is good 🇺🇸⚖️✌️🏼😉
#MAGA2020",North America - East & West,#MAGA2020
11,10/14/2019 0:37,".@realDonaldTrump is the FOUNDER OF ISIS

#winning #MAGA2020 #MAGA https://t.co/iZLfU3jLAo",Vegas,#MAGA2020
12,10/14/2019 0:36,Obama is pretty quiet these days 🤔 Where is Barry Soetoro? #ExposeTheTruth #ExposeCNN #KeepAmericaGreat #MAGA2020,,#MAGA2020
13,10/14/2019 0:35,"@NBCNews Unfounded?  You people are nuts!  Oh wait, you're NBC.  Never mind.  #MAGA2020","Michigan, USA",#MAGA2020
14,10/14/2019 0:35,https://t.co/8cxgoswoOk. His BLUFF caused awhole lot DAMAGE......he's gonna Pay! #realDonaldTrump @realdonaldtrump… https://t.co/k1G2GYW2lK,,#MAGA2020
15,10/14/2019 0:35,oh yeah libtards? conservatives cant cook? just made this fire for my family #tradwife #womenfortrump #MAGA2020 https://t.co/nM6FQmFsnq,valhalla,#MAGA2020
16,10/14/2019 0:35,"Well, well, well... I knew these assholes were lying. 
#MediaPollsAreBullshit
#FakeNewsMedia 
#FakeNews… https://t.co/r9j5HRQoFu",Camp Pendleton via Pittsburgh,#MAGA2020
17,10/14/2019 0:35,@GOPLeader Can’t wait for the day that you are the speaker of the house! 2020 can’t come fast enough! #MAGA2020,Utah,#MAGA2020
18,10/14/2019 0:34,"@RepLeeZeldin “Cherry Picking”, Representative Zelden.  It sounds better if you only release “Bad stuff about… https://t.co/pG1mesamzr",New York,#MAGA2020
19,10/14/2019 0:34,@BobRobe45805056 @parscale AND still win in 2020 #MAGA2020,,#MAGA2020
20,10/14/2019 0:34,"""THE ART OF THE DEAL"" is Making America Great Again. 

Thank you @realDonaldTrump 

To all the Dems and doubters ou… https://t.co/9npKo0eajV",,#MAGA2020
21,10/14/2019 0:33,@AnnieGabstonH @DebraMessing @googlenews Another broken campaign promise #MAGA2020 @GOPChairwoman @GOP #Republicans… https://t.co/86h4q5jULt,"Chicago, LA, Atlanta, Phoenix ",#MAGA2020
22,10/14/2019 0:32,@KokeReport Exactly what @POTUS expected. Excellent! Bravo to @realDonaldTrump for not getting pulled into the… https://t.co/Kxy3O9hFjC,"ÜT: 35.271458,-82.503049",#MAGA2020
23,10/14/2019 0:31,@JoeBiden You accidentally typed in the wrong President's name.  It should not read @realDonaldTrump but it should… https://t.co/5i4ZTg82xA,,#MAGA2020
24,10/14/2019 0:30,@KipHenley Nice week. Pay that mortgage. #MAGA2020,On the Couch,#MAGA2020
25,10/14/2019 0:29,@realDonaldTrump I'm curious President Trump. Just how far will the Dems go when you aren't impeached? Thanks for a… https://t.co/QihUoKsV8y,,#MAGA2020
26,10/14/2019 0:29,@realDonaldTrump Someone tell @realDonaldTrump  to read and reread his transcript and understand how much of it is… https://t.co/EvBIjVJvhr,,#MAGA2020
27,10/14/2019 0:28,@realDonaldTrump @marklevinshow @FoxNews Hands down the two smartest guys @FoxNews can’t wait! @SteveHiltonx and… https://t.co/lHnlhk7uv9,"New York, NY ",#MAGA2020
28,10/14/2019 0:27,"#MAGA #MAGA2020 
@realDonaldTrump has now made US responsible for murder of Kurds. He did this to protect his busin… https://t.co/yGJ8d1w9GM",Deep in the heart,#MAGA2020
29,10/14/2019 0:25,"@SaraCarterDC @realDonaldTrump @RepAdamSchiff TRUMP ADMITTED TO IT AND TEXT MESSAGES CONFIRM.....

#MAGA2020",kaikkialla läsnä oleva,#MAGA2020
30,10/14/2019 0:25,@Martina @RichardGrenell @mattlashey Aaand on your Left we have @Martina our Resident Garbage Person. That’s right… https://t.co/FOod1ogHGx,New York,#MAGA2020
31,10/14/2019 0:24,Following all fellow patriots! #MAGA2020 #MAGA2020Landslide #KAG2020 #KAG2020LandslideVictory #DemocratsAreCorrupt… https://t.co/aSTyBWaNEa,Southern NH •  AmericaFirst,#MAGA2020
32,10/14/2019 0:24,@BillKristol Drunk again? #MAGA2020,"Michigan, USA",#MAGA2020
33,10/14/2019 0:22,"@ChrissyQ1915 awesome Chrissy!
#MAGA2020",,#MAGA2020
34,10/14/2019 0:21,"@realDonaldTrump @foxandfriends #maga #MAGA2020 #MAGA2020Landslide 
Way to go trump. 
F'ing moron.  Resign. https://t.co/SG9uOVLzbW","Westminster, CO",#MAGA2020
35,10/14/2019 0:20,@DavidJHarrisJr Not just No! But HELL NO!!! #MAGA2020,"New Castle, IN",#MAGA2020
36,10/14/2019 0:19,#MAGA2020 Praying for you. 🇧🇷🇺🇸🙇‍♀️ https://t.co/Ts9VfRTH7y,,#MAGA2020
37,10/14/2019 0:15,@StopWheeler Bunch of slow flakes.  #ExposeCNN #MAGA2020 #Trump2020LandslideVictory,,#MAGA2020
38,10/14/2019 0:15,@thehowie @realDonaldTrump You obviously watch only the 6 corps offering their mind controlled media  ... you ARE n… https://t.co/HqsGrGA00Q,"Connecticut, USA",#MAGA2020
39,10/14/2019 0:14,@MarkWarnerVA No Mark the Snark. I wouldn’t stand for you if that meant going hungry! You are a true partisan snake… https://t.co/eViJ69TYxe,,#MAGA2020
40,10/14/2019 0:13,@realDonaldTrump Impeach trump? Never gonna happen #MAGA #PATRIOTS #AMERICA #MAGA2020,,#MAGA2020
41,10/14/2019 0:12,For you #MAGA2020 https://t.co/iPDVvLnVBe,"San Francisco, CA",#MAGA2020
42,10/14/2019 0:12,#Frenchquarter you have a Pepper Palace at #1 market street across from French Market Get Your Burn On! #NOLA… https://t.co/bhZVazMSyk,Tennessee ,#MAGA2020
43,10/14/2019 0:11,@pjbowles4 @MeltingInMarana @rkline56 @AlexPatriot3 @GannCro @phillyeaglesfa1 @1badveteran @okWessler5 @suprdupe… https://t.co/UjuHhnpNFe,MiddleOFTheSea,#MAGA2020
44,10/14/2019 0:11,"PLEASE SAVE THE BABY HUMANS"" #God #UnbornLivesMatter #MAGA2020 #usa https://t.co/qRhIySQ82I",Tennessee ,#MAGA2020
45,10/14/2019 0:10,Thank you for Making America Great Again @realDonaldTrump and fighting for #WeThePeople everyday. We love you… https://t.co/c4gxRbcEql,"Slidell, LA",#MAGA2020
46,10/14/2019 0:09,Gatlinburgs Bearfoot Art Gallery has closed but RJ McNalls artwork is available at Gatlinburgs welcome center… https://t.co/vj3AlwRlZX,Tennessee ,#MAGA2020
47,10/14/2019 0:08,@SuriusVsVodka I'll definitely support it. It's nice to find a place where I'm not hated because of my skin color.… https://t.co/N610YxcpOr,,#MAGA2020
48,10/14/2019 0:07,Actually he's human. But... everyone is entitled to an opinion. #maga #Trump2020LandslideVictory… https://t.co/73OuN1XR2M,United States,#MAGA2020
49,10/14/2019 0:06,Does anyone rooting for #MAGA2020 and #Trump2020LandslideVictory realize this is a  #NationalSecurity disaster? My… https://t.co/evN5ZKaQwz,maryland,#MAGA2020
50,10/14/2019 0:06,@RealSaavedra Daddy put him in the dog house. Hand got caught in the cookie jar. #LiberalCorruption #MAGA #MAGA2020 https://t.co/hX2aXKSPkZ,"Atlanta, GA",#MAGA2020
51,10/14/2019 0:06,@DraftTulsi Trying to get you some #maga #MAGA2020 followers.,Pacific Northwest,#MAGA2020
52,10/14/2019 0:06,@Carpefreedom05 @sweetrtweetrD @gjonesc3 @pjbowles4 @MeltingInMarana @rkline56 @AlexPatriot3 @GannCro… https://t.co/HTJg8ixomE,MiddleOFTheSea,#MAGA2020
53,10/14/2019 0:05,@DavidJHarrisJr @IlhanMN You are so wrong about the deplorables.They are hard working Americans from many nations w… https://t.co/FAauNuw0fQ,Cape Cod,#MAGA2020
54,10/14/2019 0:04,"@DavidJHarrisJr @realDonaldTrump That would of made my flights last week even better, seeing your hat. #MAGA #MAGA2020",Pennsylvania,#MAGA2020
55,10/14/2019 0:03,Does anyone rooting for #MAGA2020 and #Trump2020LandslideVictory realize this is a  #NationalSecurity disaster? My… https://t.co/AJeSWkFs6v,maryland,#MAGA2020
56,10/14/2019 0:03,@AmicaAli @marcorubio And he will stay sitting there until 2024!  #MAGA2020 #MAGA #KAG #KAG2020,,#MAGA2020
57,10/14/2019 0:03,Following all fellow patriots! #MAGA2020 #MAGA2020Landslide #KAG2020 #KAG2020LandslideVictory #DemocratsAreCorrupt… https://t.co/F2H24UTvtb,Southern NH •  AmericaFirst,#MAGA2020
58,10/14/2019 0:03,@DraftTulsi You still a Trumpster? #MAGA2020 and #maga wanted to know :),Pacific Northwest,#MAGA2020
59,10/14/2019 0:02,@PeteKent01 Congrats!! #MAGA2020,,#MAGA2020
60,10/14/2019 0:02,@LalaFlorida94  thank you! #MAGA2020 janie,"Nevada, USA",#MAGA2020
61,10/14/2019 0:02,@kurteichenwald The #MAGA2020  would rather be killed by ISIS than be a Democrat,"Perth, Western Australia",#MAGA2020
